word,english,case,ru_sentence,en_sentence,advanced
без,without,gen,Поэты не могут жить без любви.,Poets cannot live without love.,
без,to (time),gen,Без десяти́ шесть,5:50:00 AM,
ввиду,in view of,gen,Ввиду плохо́й пого́ды я не пошёл в кино.,"Owing to bad weather, I didn't go to the movies.",x
вдоль,along,gen,Дорога идёт вдоль реки.,The road follows along the river.,x
во время,during,gen,Во время завтрака он читал газету.,"During breakfast, he read a newspaper.",
вместо,instead,gen,Вместо отдыха только стресс.,Instead of a vacation only stress.,x
вне,out of,gen,Том вне о́фиса.,Tom is out of the office.,x
внутри,inside (of) (position),gen,Игрушка внутри коробки,The toy is inside the box.,x
внутрь,inside (of) (movement),gen,Том пошел внутрь ресторана.,Tom walked inside the restaurant.,x
возле,near,gen,Возле моего́ дома есть це́рковь.,Near my house is a church.,
впреди,in front,gen,Впереди робота стоит мужчина в очереди,In front of the robot a man is standing in line.,
вследствие,because of,gen,Пикник провели́ в спортза́ле вследствие дождя́.,The picnic was held in the gym because of rain.,x
вокруг,around,gen,Они собрались вокруг ками́на.,They gathered around the fireplace.,
для,for,gen,Э́то для меня кита́йская гра́мота.,"It's Greek to me. (Literally: For me, it's Chinese grammar.)",
для,for,gen,Подарок для мамы.,A present for mom.,
до,before,gen,Вы мо́жете позвони́ть мне до уро́ка?,Can you call me before the lesson?,
до,to (direction),gen,Ты мо́жешь дойти́ от до́ма до гаража́ за две мину́ты.,You can walk from the house to the garage in two minutes.,
до,to (distance),gen,От Москвы́ до Сочи́ 1622 км.,"From Moscow to Sochi, it is 1622 kilometers.",
до,up to (limit),gen,Магази́н предлаѓает скидку до 50 (пяти́десяти) проце́нтов.,The store offers a discount of up to 50%.,
до,until,gen,Я не спал до двух часо́в.,I didn't sleep until two o'clock.,
из,from,gen,"Этот хлеб из магази́на не тако́й вку́сный, как тот дома́шний.",The bread from the shop is not as tasty as homemade.,
из,out of,gen,Дом построен из дерева.,The house is made of wood.,
из-за,because of,gen,Самолё́т разби́лся из-за оши́бки пило́та.,The aircraft crashed due to pilot error.,
из-за,from,gen,Отец зако́нчил обе́д и встал из-за стола́.,The father finished his lunch and got up from the table.,x
из-под,from under,gen,Кот вы́шел из-под дива́на.,The cat came out from under the couch.,
кроме,except,gen,"Она ничего не ест, кроме овоще́й.",She eats nothing except vegetables.,
между,between,gen,Читать между строк,read between the lines,
мимо,pass,gen,Авто́бус прое́хал мимо авто́бусной остано́вки.,The bus went past the bus stop.,
напротив,opposite,gen,Я купил эту книгу в книжном напротив вокзала.,I bought this book by the bookstore opposite the train station.,
напротив,to the contrary,gen,"Вы молоды. Я, напротив, очень стар.","You are young. I, on the other hand, am very old.",
насчёт,as regards,gen,Как насчёт чая?,How about some tea?,
насчёт,as regards,gen,Как насчёт России?,What regarding Russia?,
около,around,gen,Она жила там около пяти лет.,She lived there about five years.,
от,from (away),gen,Отойди от меня!,Get away from me!,
от,from (part of a whole),gen,Э́то рука́в от руба́шки.,It's the sleeve of a shirt.,
от,from (cause),gen,Он у́мер от диабе́та.,He died from diabetes.,
от,from (distance),gen,От Петербу́рга до Москвы́ о́коло шестисот (650) км,It's 650 km from St. Petersburg to Moscow.,
от,from (range),gen,Биле́ты сто́ят от дувхсот (200) до четырёхсот (400) рубле́й.,Tickets cost from 200 to 400 rubles.,
от,from (someone),gen,Это пода́рок от моей ма́мы.,It's a gift from my mom.,
от,for/against (purpose),gen,"У меня́ грипп, и до́ктор вы́писал мне табле́тки от ка́шля.",I have a flu and the doctor prescribed these pills for cough.,
отo,from,gen,Отличи́ть добро от зла просто.,It is easy to tell good from evil.,
относительно,concerning,gen,Что думаете вы относительно этой секретарши?,What do you think about this secretary?,x
помимо,besides,gen,"Кто был на вечеринке, помимо Тома и Игоря?","Who was at the party, besides Tom and Igor?",x
после,after,gen,Давай пойдём за мороженым после урока,Let's go for ice cream after the lesson.,
посреди,in the middle of,gen,Не разгова́ривайте посреди уро́ка.,Don't talk in the middle of a lesson.,x
посредством,by means of,gen,Посредством массажа избавился от болей,"Through the massage, I got rid of the pains.",x
подле,alongside of,gen,Хочу лежать подле нее в ванной полной теплого клея!,I want to lie beside her in a pool of warm glue!,x
позади,behind,gen,"Сла́ва бо́гу, ху́дшее позади.","Thank God, the worst is behind us.",x
против,against,gen,Рабо́чие против но́вого пла́на.,The workers are against the new plan.,
путём,by means of,gen,Путём тайных доносов было привлечено внимание Офицеров Ночи,"By means of secret denunciation, the attention of the Officers of the Night was attracted.",x
ради,for the sake of,gen,"Она спо́рит лишь ради того́, чтобы спо́рить.",She argues for the sake of arguing.,
с,from,gen,Я только что пришёл с работы.,I have just come from work.,
с,since,gen,С де́тства я мечта́л стать конди́тером.,"Since childhood, I have dreamed of becoming a pastry chef.",
со,off,gen,Он снял карти́ну со стены́.,He took the picture off the wall.,
сверх,over,gen,Вы не мо́жете брать с собой в самолёт бага́ж сверх но́рмы.,You can't take any excess baggage on the plane.,x
свыше,more than,gen,Я потратил свыше трех тысяч рублей за этот чайник.,I spent more than three thousand rubles for this kettle.,x
свыше,above,gen,Поня́ть э́ту кни́гу выше мои́х сил.,Understanding this book is beyond my power.,x
среди,among,gen,Они очень популя́рны среди мальчиков.,They are very popular among boys.,
у,(possession),gen,У нее есть машина.,She has a car.,
у,by (place),gen,Забронируй место у окна.,Book a seat by a window,
у,with,gen,Он до́лго жил у роди́телей дру́га.,He was living with his friend's parents for a while.,
у,from (borrow),gen,Маша взяла это платье у подруги.,Masha borrowed the dress from her friend.,
благодаря,thanks to,dat,"Благодаря ей, её мать сча́стлива.",She makes her mother happy.,
вопреки,despite,dat,Они вы́держали это вопреки всему́.,They held out against all odds.,x
к,toward,dat,Мы медленно движемся к театру.,We are slowly moving toward the theater.,
к,by (time),dat,"Пожалуйста, сделайте это к понедельнику.",Please do it by Monday.,
к,visit (someone),dat,На выходных мы едем к бабушке.,This weekend we are going to visit our grandmother.,
по,according to,dat,"Второй арест, по его словам, произошел в 1993 году.","According to him, the second arrest was in 1993.",
по,along,dat,Я иду по улице.,I'm walking down the street,
по,on the subject of,dat,Учебник по фи́зике,Physics textbook.,
по,by means of,dat,Говорить по телефону,To talk on the phone.,
по,hit (something),dat,Он ударил меня по лицу!,He punched me in the face!,
по,after an age,dat,Дееспосо́бность возника́ет у лица́ по достиже́нии 18 лет.,A person acquires legal capacity at the age of 18.,x
в,to (movement),acc,Он уже идет в школу.,He already going to school.,
на,to (movement),acc,Она едет на работу.,She is driving to work.,
о,against (contact),acc,Она ударилась рукой о дверь.,She hit her hand against the door.,x
за,at (direction),acc,Гости сняли пальто и сели за стол.,The guests took off their coats and sat at the table.,
за,for (in support of),acc,Он голосовал за Трампа.,He voted for Trump.,
за,for (mistake for),acc,Его приняли за её мужа.,He was mistaken for her husband.,
за,for (reason),acc,Он отсидел 5 лет за ограбление,He did 5 years in prison for robbery.,
за,for (duration),acc,За 2 месяца работы он ничего не сделал.,He did nothing for two months.,
за,over (age),acc,Я думаю ему уже за 50.,I think he's over 50.,x
под,under (movement),acc,Они идут под мост,They go under the bridge.,
про,concerning,acc,"Э́то не про тебя, Том.","This isn't about you, Tom.",
сквозь,through,acc,Лев пры́гнул сквозь горящий о́бруч.,The lion jumped through the burning ring.,
через,across,acc,Мы строим мост через реку.,We are building a bridge across the river.,
через,through,acc,Он бежал через лес.,He ran through the forest.,
через,through,acc,Мы общались через переводчика.,We communicated through an interpreter.,
через,in (time),acc,Мы будем готовы через пять минут.,We are ready in five minutes.,
за,behind,inst,Гараж находится за домом.,The garage is behind the house.,
за,at (location),inst,Гости сидели за столом и ужинали.,Guests sat at the table and ate dinner.,
за,(following) after,inst,Почему он бежит за нами? Что он хочет от нас?,Why is he running after us? Does he need something?,
за,beyond,inst,Что лежит за пределами наблюдаемой Вселенной?,What lies beyond the edge of the observable universe?,
за,out of (location),inst,Я был вчера за городом.,I was out of town yesterday.,
между,between,inst,Между почтой и магази́ном банк.,Between the post office and store is a bank.,
над,above,inst,Я пове́сил карти́ну над дива́ном.,I hung a picture over the sofa.,
над,at,inst,Все смея́лись над его оши́бкой.,Everyone laughed at his mistake.,
над,on,inst,Я работаю над моим проектом.,I work on my project.,
перед,before,inst,Перед обедом мы поиграли в карты.,Before dinner we played cards.,
перед,in front of,inst,Газон перед домом.,A lawn in front of the house.,
перед,to (apology),inst,Я хоте́л бы извини́ться пе́ред волгоградской мили́цией.,I would like to apologize to the Volgograd police.,
под,under (location),inst,Чемодан под кроватью,The suitcase is under the bed.,
под,below,inst,Эта пара живет в квартире под нами.,This couple lives in the apartment below us.,
под,underneath,inst,Тоннель проходит под замком.,The tunnel goes underneath the castle.,
